字段,指标,定义,单位
positive_rise_p95_mpa,正向涨幅,"max(P95[P(t)−P0],0)",MPa
amplitude_mpa,变化幅度,P95[P(t)]−P05[P(t)],MPa
overall_rate_mpa_min,整体回归涨幅速率,全观察窗口压力对时间的最小二乘斜率,MPa/min
endpoint_rate_mpa_min,端点平均涨幅速率,尾段压差/观察时长,MPa/min
early_rate_mpa_min_v3,前期速率,观察窗前1/3线性回归斜率,MPa/min
middle_rate_mpa_min_v3,中期速率,观察窗中1/3线性回归斜率,MPa/min
late_rate_mpa_min_v3,后期速率,观察窗后1/3线性回归斜率,MPa/min
early_middle_acceleration_mpa_min2,前中期加速度趋势,(中期速率−前期速率)/(T/3),MPa/min²
middle_late_acceleration_mpa_min2,中后期加速度趋势,(后期速率−中期速率)/(T/3),MPa/min²
acceleration_p95_native_mpa_min2,瞬时加速度P95,在原生或更粗时间上差分，不以插值增多点估计,MPa/min²
positive_auc_mpa_min,正向积分面积,"积分max(P(t)−P0,0)dt，时间为分钟",MPa·min
signed_auc_mpa_min,有符号积分面积,积分(P(t)−P0)dt,MPa·min
positive_auc_mean_mpa,时长归一化正向面积,正向积分/T,MPa
rising_duration_min,累计上涨时间,"至多21点趋势中，增量>max(0.01MPa,噪声)的区间时长之和",min
longest_rising_duration_min,最长连续上涨时间,连续满足上涨条件的最长区间时长,min
positive_duration_min,压力持续高于起点时间,"趋势区间中点压差>max(0.05MPa,3×噪声)的时间",min
onset_fraction_v3,相对起涨位置,观察窗内首次连续两点超过噪声阈值的位置；未检出另有删失标记,0–1
